code,항목명
G46323,"빵류, 과자류, 당류, 초콜릿 도매업"
G46324,낙농품 및 동ㆍ식물성 유지 도매업
G46325,커피 및 차류 도매업
G46326,조미료 도매업
G46329,기타 가공식품 도매업
G46331,주류 도매업
G46332,비알코올 음료 도매업
G46333,담배 도매업
G46411,생활용 섬유 및 실 도매업
G46412,커튼 및 침구용품 도매업
G46413,남녀용 겉옷 및 셔츠 도매업
G46414,유아용 의류 도매업
G46415,속옷 및 잠옷 도매업
G46416,가죽 및 모피 제품 도매업
G46417,의복 액세서리 및 모조 장신구 도매업
G46419,기타 생활용 섬유 및 직물 제품 도매업
G46420,신발 도매업
G46431,생활용 가구 도매업
G46432,"전구, 램프 및 조명장치 도매업"
G46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업
G46439,기타 비전기식 생활용 기기 및 기구 도매업
G46441,의약품 도매업
G46442,의료용품 도매업
G46443,화장품 및 화장용품 도매업
G46444,비누 및 세정제 도매업
G46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업"
G46452,"문구용품, 회화용품, 사무용품 도매업"
G46453,"서적, 잡지 및 기타 인쇄물 도매업"
G46461,음반 및 비디오물 도매업
G46462,악기 도매업
G46463,"장난감 및 취미, 오락용품 도매업"
G46464,운동 및 경기용품 도매업
G46465,자전거 및 기타 운송장비 도매업
G46491,가방 및 보호용 케이스 도매업
G46492,시계 및 귀금속 제품 도매업
G46493,"안경, 사진장비 및 광학용품 도매업"
G46499,그 외 기타 생활용품 도매업
G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업"
G46521,가전제품 및 부품 도매업
G46522,통신ㆍ방송장비 및 부품 도매업
G46531,농림업용 기계 및 장비 도매업
G46532,건설ㆍ광업용 기계 및 장비 도매업
G46533,공작용 기계 및 장비 도매업
G46539,기타 산업용 기계 및 장비 도매업
G46591,사무용 가구 및 기기 도매업
G46592,의료 기기 도매업
G46593,정밀 기기 및 과학 기기 도매업
G46594,수송용 운송장비 도매업
G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업
G46596,전지 및 케이블 도매업
G46599,그 외 기타 기계 및 장비 도매업
G46611,원목 및 건축관련 목제품 도매업
G46612,"골재, 벽돌 및 시멘트 도매업"
G46613,유리 및 창호 도매업
G46621,배관 및 냉ㆍ난방장치 도매업
G46622,"철물, 금속 파스너 및 수공구 도매업"
G46691,도료 도매업
G46692,벽지 및 장판류 도매업
G46699,그 외 기타 건축자재 도매업
G46711,고체 연료 및 관련제품 도매업
G46712,액체 연료 및 관련제품 도매업
G46713,기체 연료 및 관련제품 도매업
G46721,1차 금속제품 도매업
G46722,금속광물 도매업
G46731,"염료, 안료 및 관련제품 도매업"
G46732,비료 및 농약 도매업
G46733,플라스틱 물질 및 합성고무 도매업
G46739,기타 화학 물질 및 화학제품 도매업
G46741,방직용 섬유 및 실 도매업
G46742,직물 도매업
G46750,"종이 원지, 판지, 종이상자 도매업"
G46791,재생용 재료 수집 및 판매업
G46799,그 외 기타 상품 전문 도매업
G46800,상품 종합 도매업
G47111,백화점
G47112,대형 마트
G47119,기타 대형 종합 소매업
G47121,슈퍼마켓
G47122,체인화 편의점
G47129,기타 음ㆍ식료품 위주 종합 소매업
G47130,면세점
G47190,그 외 기타 종합 소매업
G47211,"곡물, 곡분 및 가축 사료 소매업"
G47212,육류 소매업
G47213,건어물 및 젓갈류 소매업
G47214,"신선, 냉동 및 기타 수산물 소매업"
G47215,"채소, 과실 및 뿌리작물 소매업"
G47216,"빵류, 과자류 및 당류 소매업"
G47217,건강 보조식품 소매업
G47218,조리 반찬류 소매업
G47219,기타 식료품 소매업
G47221,음료 소매업
G47222,담배 소매업
G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업"
G47312,통신기기 소매업
G47320,가전제품 소매업
G47411,남자용 겉옷 소매업
G47412,여자용 겉옷 소매업
G47413,속옷 및 잠옷 소매업
G47414,셔츠 및 블라우스 소매업
G47415,한복 소매업
G47416,가죽 및 모피 의복 소매업
G47417,유아용 의류 소매업
G47419,기타 의복 소매업
G47421,가정용 직물제품 소매업
G47422,의복 액세서리 및 모조 장신구 소매업
G47429,"섬유 원단, 실 및 기타 섬유제품 소매업"
G47430,신발 소매업
G47440,가방 및 기타 가죽제품 소매업
G47511,철물 및 난방용구 소매업
G47512,공구 소매업
G47513,"벽지, 마루덮개 및 장판류 소매업"
G47519,"페인트, 창호 및 기타 건설자재 소매업"
G47520,가구 소매업
G47591,전기용품 및 조명장치 소매업
G47592,"주방용품 및 가정용 유리, 요업제품 소매업"
G47593,악기 소매업
G47599,그 외 기타 분류 안된 가정용품 소매업
G47611,"서적, 신문 및 잡지류 소매업"
G47612,문구용품 및 회화용품 소매업
G47620,음반 및 비디오물 소매업
G47631,운동 및 경기용품 소매업
G47632,자전거 및 기타 운송장비 소매업
G47640,"게임용구, 인형 및 장난감 소매업"
G47711,운송장비용 주유소 운영업
G47712,운송장비용 가스 충전업
G47721,가정용 고체 연료 소매업
G47722,가정용 액체 연료 소매업
G47723,가정용 가스 연료 소매업
G47811,의약품 및 의료용품 소매업
G47812,의료용 기구 소매업
G47813,"화장품, 비누 및 방향제 소매업"
G47821,사무용 기기 소매업
G47822,안경 및 렌즈 소매업
G47823,사진기 및 사진용품 소매업
G47829,기타 광학 및 정밀 기기 소매업
G47830,시계 및 귀금속 소매업
G47841,예술품 및 골동품 소매업
G47842,"기념품, 관광 민예품 및 장식용품 소매업"
G47851,화초 및 식물 소매업
G47852,애완용 동물 및 관련용품 소매업
G47859,그 외 기타 분류 안된 상품 전문 소매업
G47861,중고 가구 소매업
G47862,중고 가전제품 및 통신장비 소매업
G47869,기타 중고 상품 소매업
G47911,전자상거래 소매 중개업
G47912,전자상거래 소매업
G47919,기타 통신 판매업
G47920,노점 및 유사 이동 소매업
G47991,자동 판매기 운영업
G47992,계약배달 판매업
G47993,방문 판매업
G47999,그 외 기타 무점포 소매업
H49101,철도 여객 운송업
H49102,철도 화물 운송업
H49211,도시철도 운송업
H49212,시내버스 운송업
H49219,기타 도시 정기 육상 여객 운송업
H49220,시외버스 운송업
H49231,택시 운송업
H49232,전세버스 운송업
H49233,특수 여객 자동차 운송업
H49239,기타 부정기 여객 육상 운송업
H49301,일반 화물 자동차 운송업
H49302,용달 화물 자동차 운송업
H49303,개별 화물 자동차 운송업
H49309,기타 도로 화물 운송업
H49401,택배업
H49402,늘찬 배달업
H49500,파이프라인 운송업
H50111,외항 여객 운송업
H50112,외항 화물 운송업
H50121,내항 여객 운송업
H50122,내항 화물 운송업
H50130,기타 해상 운송업
H50201,내륙 수상 여객 및 화물 운송업
H50202,항만 내 여객 운송업
H50209,기타 내륙 수상 운송업
H51100,항공 여객 운송업
H51200,항공 화물 운송업
H52101,일반 창고업
H52102,냉장 및 냉동 창고업
H52103,농산물 창고업
H52104,위험 물품 보관업
H52109,기타 보관 및 창고업
H52911,철도 운송 지원 서비스업
H52912,여객 자동차 터미널 운영업
H52913,물류 터미널 운영업
H52914,도로 및 관련시설 운영업
H52915,주차장 운영업
H52919,기타 육상 운송지원 서비스업
H52921,항구 및 기타 해상 터미널 운영업
H52929,기타 수상 운송 지원 서비스업
H52931,공항 운영업
H52939,기타 항공 운송지원 서비스업
H52941,항공 및 육상 화물 취급업
H52942,수상 화물 취급업
H52991,통관 대리 및 관련서비스업
H52992,"화물 운송 중개, 대리 및 관련 서비스업"
H52993,"화물 포장, 검수 및 계량 서비스업"
H52999,그 외 기타 분류 안된 운송관련 서비스업
I55101,호텔업
I55102,여관업
I55103,휴양 콘도 운영업
I55104,민박업
I55109,기타 일반 및 생활 숙박시설 운영업
I55901,기숙사 및 고시원 운영업
I55909,그 외 기타 숙박업
I56111,한식 일반 음식점업
I56112,한식 면 요리 전문점
I56113,한식 육류 요리 전문점
I56114,한식 해산물 요리 전문점
I56121,중식 음식점업
I56122,일식 음식점업
I56123,서양식 음식점업
I56129,기타 외국식 음식점업
I56130,기관 구내식당업
I56141,출장 음식 서비스업
I56142,이동 음식점업
I56191,제과점업
I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업"
I56193,치킨 전문점
I56194,김밥 및 기타 간이 음식점업
I56199,간이 음식 포장 판매 전문점
I56211,일반 유흥 주점업
I56212,무도 유흥 주점업
I56213,생맥주 전문점
I56219,기타 주점업
I56221,커피 전문점
I56229,기타 비알코올 음료점업
J58111,교과서 및 학습 서적 출판업
J58112,만화 출판업
J58113,일반 서적 출판업
J58121,신문 발행업
J58122,잡지 및 정기 간행물 발행업
J58123,정기 광고 간행물 발행업
J58190,기타 인쇄물 출판업
J58211,유선 온라인 게임 소프트웨어 개발 및 공급업
J58212,모바일 게임 소프트웨어 개발 및 공급업
J58219,기타 게임 소프트웨어 개발 및 공급업
J58221,시스템 소프트웨어 개발 및 공급업
J58222,응용 소프트웨어 개발 및 공급업
J59111,일반 영화 및 비디오물 제작업
J59112,애니메이션 영화 및 비디오물 제작업
J59113,광고 영화 및 비디오물 제작업
J59114,방송 프로그램 제작업
J59120,"영화, 비디오물 및 방송 프로그램 제작 관련 서비스업"
J59130,"영화, 비디오물 및 방송 프로그램 배급업"
J59141,영화관 운영업
J59142,비디오물 감상실 운영업
J59201,음악 및 기타 오디오물 출판업
J59202,녹음시설 운영업
J60100,라디오 방송업
J60210,지상파 방송업
J60221,프로그램 공급업
J60222,유선 방송업
J60229,위성 및 기타 방송업
J61100,공영 우편업
J61210,유선 통신업
J61220,무선 및 위성 통신업
J61291,통신 재판매업
J61299,그 외 기타 전기 통신업
J62010,컴퓨터 프로그래밍 서비스업
J62021,컴퓨터 시스템 통합 자문 및 구축 서비스업
J62022,컴퓨터시설 관리업
J62090,기타 정보 기술 및 컴퓨터 운영 관련 서비스업
J63111,자료 처리업
J63112,호스팅 및 관련 서비스업
J63120,포털 및 기타 인터넷 정보 매개 서비스업
J63910,뉴스 제공업
J63991,데이터베이스 및 온라인 정보 제공업
J63999,그 외 기타 정보 서비스업
K64110,중앙은행
K64121,국내은행
K64122,외국은행
K64131,신용조합
K64132,상호 저축은행 및 기타 저축기관
K64201,신탁업 및 집합 투자업
K64209,기타 금융 투자업
K64911,금융 리스업
K64912,개발 금융기관
K64913,신용카드 및 할부 금융업
K64919,그 외 기타 여신 금융업
K64991,기금 운영업
K64992,지주회사
K64999,그 외 기타 분류 안된 금융업
K65110,생명보험업
K65121,손해보험업
K65122,보증보험업
K65131,건강보험업
K65139,산업 재해 및 기타 사회보장보험업
K65200,재보험업
K65301,개인 공제업
K65302,사업 공제업
K65303,연금업
K66110,금융시장 관리업
K66121,증권 중개업
K66122,선물 중개업
K66191,"증권 발행, 관리, 보관 및 거래 지원 서비스업"
K66192,투자 자문업 및 투자 일임업
K66199,그 외 기타 금융 지원 서비스업
K66201,손해 사정업
K66202,보험 대리 및 중개업
K66209,기타 보험 및 연금관련 서비스업
L68111,주거용 건물 임대업
L68112,비주거용 건물 임대업
L68119,기타 부동산 임대업
L68121,주거용 건물 개발 및 공급업
L68122,비주거용 건물 개발 및 공급업
L68129,기타 부동산 개발 및 공급업
L68211,주거용 부동산 관리업
L68212,비주거용 부동산 관리업
L68221,부동산 중개 및 대리업
L68222,부동산 투자 자문업
L68223,부동산 감정 평가업
M70111,"물리, 화학 및 생물학 연구개발업"
M70112,농림수산학 및 수의학 연구개발업
M70113,의학 및 약학 연구개발업
M70119,기타 자연과학 연구개발업
M70121,전기ㆍ전자공학 연구개발업
M70129,기타 공학 연구개발업
M70130,자연과학 및 공학 융합 연구개발업
M70201,경제 및 경영학 연구개발업
M70209,기타 인문 및 사회과학 연구개발업
M71101,변호사업
M71102,변리사업
M71103,법무사업
M71109,기타 법무관련 서비스업
M71201,공인회계사업
M71202,세무사업
M71209,기타 회계 관련 서비스업
M71310,광고 대행업
M71391,옥외 및 전시 광고업
M71392,광고 매체 판매업
M71393,"광고물 문안, 도안, 설계 등 작성업"
M71399,그 외 기타 광고 관련 서비스업
M71400,시장 조사 및 여론 조사업
M71511,제조업 회사 본부
M71519,기타 산업 회사본부
M71531,경영 컨설팅업
M71532,공공관계 서비스업
M71600,기타 전문 서비스업
M72111,건축 설계 및 관련 서비스업
M72112,도시 계획 및 조경 설계 서비스업
M72121,건물 및 토목 엔지니어링 서비스업
M72122,환경 관련 엔지니어링 서비스업
M72129,기타 엔지니어링 서비스업
M72911,물질 성분 검사 및 분석업
M72919,"기타 기술 시험, 검사 및 분석업"
M72921,측량업
M72922,제도업
M72923,지질 조사 및 탐사업
M72924,지도 제작업
M73100,수의업
M73201,인테리어 디자인업
M73202,제품 디자인업
M73203,시각 디자인업
M73209,"패션, 섬유류 및 기타 전문 디자인업"
M73301,인물 사진 및 행사용 영상 촬영업
M73302,상업용 사진 촬영업
M73303,사진 처리업
M73901,매니저업
M73902,번역 및 통역 서비스업
M73903,사업 및 무형 재산권 중개업
M73904,"물품 감정, 계량 및 견본 추출업"
M73909,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
N74100,사업시설 유지ㆍ관리 서비스업
N74211,건축물 일반 청소업
N74212,"산업설비, 운송장비 및 공공장소 청소업"
N74220,"소독, 구충 및 방제 서비스업"
N74300,조경관리 및 유지 서비스업
N75110,고용 알선업
N75121,임시 및 일용 인력 공급업
N75122,상용 인력 공급 및 인사관리 서비스업
N75210,여행사업
N75290,기타 여행 보조 및 예약 서비스업
N75310,경비 및 경호 서비스업
N75320,보안 시스템 서비스업
N75330,탐정 및 조사 서비스업
N75911,문서 작성업
N75912,복사업
N75919,기타 사무 지원 서비스업
N75991,콜센터 및 텔레마케팅 서비스업
N75992,"전시, 컨벤션 및 행사 대행업"
N75993,신용 조사 및 추심 대행업
N75994,포장 및 충전업
N75999,그 외 기타 분류 안된 사업 지원 서비스업
N76110,자동차 임대업
N76190,기타 운송장비 임대업
N76210,스포츠 및 레크리에이션 용품 임대업
N76220,음반 및 비디오물 임대업
N76291,서적 임대업
N76292,의류 임대업
N76299,그 외 기타 개인 및 가정용품 임대업
N76310,건설 및 토목공사용 기계ㆍ장비 임대업
N76320,컴퓨터 및 사무용 기계ㆍ장비 임대업
N76390,기타 산업용 기계 및 장비 임대업
N76400,무형 재산권 임대업
O84111,입법기관
O84112,중앙 최고 집행기관
O84113,지방행정 집행기관
O84114,재정 및 경제정책 행정
O84119,기타 일반 공공 행정
O84120,정부기관 일반 보조 행정
O84211,교육 행정
O84212,문화 및 관광 행정
O84213,환경 행정
O84214,보건 및 복지 행정
O84219,기타 사회서비스 관리 행정
O84221,노동 행정
O84222,농림수산 행정
O84223,건설 및 운송 행정
O84224,우편 및 통신 행정
O84229,기타 산업 진흥 행정
O84310,외무 행정
O84320,국방 행정
O84401,법원
O84402,검찰
O84403,교도기관
O84404,경찰
O84405,소방서
O84409,기타 사법 및 공공 질서 행정
O84500,사회보장 행정
P85110,유아 교육기관
P85120,초등학교
P85211,중학교
P85212,일반 고등학교
P85221,상업 및 정보산업 특성화 고등학교
P85222,공업 특성화 고등학교
P85229,기타 특성화 고등학교
P85301,전문대학
P85302,대학교
P85303,대학원
P85410,특수학교
P85420,외국인학교
P85430,대안학교
P85501,일반 교과학원
P85502,방문 교육학원
P85503,온라인 교육학원
P85611,태권도 및 무술 교육기관
P85612,기타 스포츠 교육기관
P85613,레크리에이션 교육기관
P85614,청소년 수련시설 운영업
P85621,음악학원
P85622,미술학원
P85629,기타 예술학원
P85631,외국어학원
P85632,기타 교습학원
P85640,사회교육시설
P85650,직원 훈련기관
P85661,운전학원
P85669,기타 기술 및 직업 훈련학원
P85691,컴퓨터 학원
P85699,그 외 기타 분류 안된 교육기관
P85701,교육관련 자문 및 평가업
P85709,기타 교육지원 서비스업
Q86101,종합병원
Q86102,일반병원
Q86103,치과병원
Q86104,한방병원
Q86105,요양병원
Q86201,일반의원
Q86202,치과의원
Q86203,한의원
Q86204,방사선 진단 및 병리 검사 의원
Q86300,공중 보건 의료업
Q86901,앰뷸런스 서비스업
Q86902,유사 의료업
Q86909,그 외 기타 보건업
Q87111,노인 요양 복지시설 운영업
Q87112,노인 양로 복지시설 운영업
Q87121,신체 부자유자 거주 복지시설 운영업
Q87122,"정신 질환, 정신 지체 및 약물 중독자 거주 복지시설 운영업"
Q87131,아동 및 부녀자 거주 복지시설 운영업
Q87139,그 외 기타 거주 복지시설 운영업
Q87210,보육시설 운영업
Q87291,직업 재활원 운영업
Q87292,종합복지관 운영업
Q87293,방문 복지서비스 제공업
Q87294,사회복지 상담 서비스 제공업
Q87299,그 외 기타 비거주 복지 서비스업
R90110,공연시설 운영업
R90121,연극단체
R90122,무용 및 음악단체
R90123,기타 공연단체
R90131,공연 예술가
R90132,비공연 예술가
R90191,공연 기획업
R90192,공연 및 제작관련 대리업
R90199,그 외 기타 창작 및 예술관련 서비스업
R90211,도서관 및 기록 보존소 운영업
R90212,독서실 운영업
R90221,박물관 운영업
R90222,사적지 관리 운영업
R90231,식물원 및 동물원 운영업
R90232,자연공원 운영업
R90290,기타 유사 여가관련 서비스업
R91111,실내 경기장 운영업
R91112,실외 경기장 운영업
R91113,경주장 및 동물 경기장 운영업
R91121,골프장 운영업
R91122,스키장 운영업
R91131,종합 스포츠시설 운영업
R91132,체력 단련시설 운영업
R91133,수영장 운영업
R91134,볼링장 운영업
R91135,당구장 운영업
R91136,골프 연습장 운영업
R91139,그 외 기타 스포츠시설 운영업
R91191,스포츠 클럽 운영업
R91199,그 외 기타 스포츠 서비스업
R91210,유원지 및 테마파크 운영업
R91221,전자 게임장 운영업
R91222,컴퓨터 게임방 운영업
R91223,노래 연습장 운영업
R91229,기타 오락장 운영업
R91231,낚시장 운영업
R91239,기타 수상오락 서비스업
R91241,복권 발행 및 판매업
R91249,기타 사행시설 관리 및 운영업
R91291,무도장 운영업
R91292,체육 공원 및 유사 공원 운영업
R91293,기원 운영업
R91299,그 외 기타 분류 안된 오락관련 서비스업
S94110,산업 단체
S94120,전문가 단체
S94200,노동조합
S94911,불교 단체
S94912,기독교 단체
S94913,천주교 단체
S94914,민족 종교 단체
S94919,기타 종교 단체
S94920,정치 단체
S94931,환경운동 단체
S94939,기타 시민운동 단체
S94990,그 외 기타 협회 및 단체
S95110,컴퓨터 및 주변 기기 수리업
S95120,통신장비 수리업
S95211,자동차 종합 수리업
S95212,자동차 전문 수리업
S95213,자동차 세차업
S95220,모터사이클 수리업
S95310,가전제품 수리업
S95391,의복 및 기타 가정용 직물제품 수리업
S95392,"가죽, 가방 및 신발 수리업"
S95393,"시계, 귀금속 및 악기 수리업"
S95399,그 외 기타 개인 및 가정용품 수리업
S96111,이용업
S96112,두발 미용업
S96113,피부 미용업
S96119,기타 미용업
S96121,욕탕업
S96122,마사지업
S96129,체형 등 기타 신체 관리 서비스업
S96911,산업용 세탁업
S96912,가정용 세탁업
S96913,세탁물 공급업
S96921,장례식장 및 장의관련 서비스업
S96922,"화장터 운영, 묘지 분양 및 관리업"
S96991,예식장업
S96992,점술 및 유사 서비스업
S96993,개인 간병 및 유사 서비스업
S96994,결혼 상담 및 준비 서비스업
S96995,애완 동물 장묘 및 보호 서비스업
S96999,그 외 기타 달리 분류되지 않은 개인 서비스업
T97000,가구 내 고용활동
T98100,자가 소비를 위한 가사 생산 활동
T98200,자가 소비를 위한 가사 서비스 활동
U99001,주한 외국 공관
U99009,기타 국제 및 외국기관
A0111,곡물 및 기타 식량작물 재배업
A0112,"채소, 화훼작물 및 종묘 재배업"
A0113,"과실, 음료용 및 향신용 작물 재배업"
A0114,기타 작물 재배업
A0115,시설작물 재배업
A0121,소 사육업
A0122,양돈업
A0123,가금류 및 조류 사육업
A0129,기타 축산업
A0130,작물재배 및 축산 복합농업
A0141,작물재배 관련 서비스업
A0142,축산 관련 서비스업
A0150,수렵 및 관련 서비스업
A0201,영림업
A0202,벌목업
A0203,임산물 채취업
A0204,임업 관련 서비스업
A0311,해수면 어업
A0312,내수면 어업
A0321,양식 어업
A0322,어업 관련 서비스업
B0510,석탄 광업
B0520,원유 및 천연가스 채굴업
B0610,철 광업
B0620,비철금속 광업
B0711,석회석 및 점토 광업
B0712,"석재, 쇄석 및 모래, 자갈 채취업"
B0721,화학용 및 비료 원료용 광물 광업
B0722,천일염 생산 및 암염 채취업
B0729,그 외 기타 비금속광물 광업
B0800,광업 지원 서비스업
C1011,도축업
C1012,육류 가공 및 저장 처리업
C1021,수산동물 가공 및 저장 처리업
C1022,수산식물 가공 및 저장 처리업
C1030,"과실, 채소 가공 및 저장 처리업"
C1040,동물성 및 식물성 유지 제조업
C1050,낙농제품 및 식용 빙과류 제조업
C1061,곡물 가공품 제조업
C1062,전분제품 및 당류 제조업
C1071,"떡, 빵 및 과자류 제조업"
C1072,설탕 제조업
C1073,"면류, 마카로니 및 유사 식품 제조업"
C1074,조미료 및 식품 첨가물 제조업
C1075,도시락 및 식사용 조리식품 제조업
C1079,기타 식료품 제조업
C1080,동물용 사료 및 조제식품 제조업
C1111,발효주 제조업
C1112,증류주 및 합성주 제조업
C1120,비알코올 음료 및 얼음 제조업
C1200,담배 제조업
C1310,방적 및 가공사 제조업
C1321,직물 직조업
C1322,직물제품 제조업
C1330,편조 원단 제조업
C1340,"섬유제품 염색, 정리 및 마무리 가공업"
C1391,"카펫, 마루덮개 및 유사 제품 제조업"
C1392,"끈, 로프, 망 및 끈 가공품 제조업"
C1399,그 외 기타 섬유제품 제조업
C1411,겉옷 제조업
C1412,속옷 및 잠옷 제조업
C1413,한복 제조업
C1419,기타 봉제의복 제조업
C1420,모피제품 제조업
C1430,편조의복 제조업
C1441,편조 의복 액세서리 제조업
C1449,기타 의복 액세서리 제조업
C1511,모피 및 가죽 제조업
C1512,"핸드백, 가방 및 기타 보호용 케이스 제조업"
C1519,기타 가죽제품 제조업
C1521,신발 제조업
C1522,신발 부분품 제조업
C1610,제재 및 목재 가공업
C1621,"박판, 합판 및 강화 목제품 제조업"
C1622,건축용 나무제품 제조업
C1623,"목재 상자, 드럼 및 적재판 제조업"
C1629,기타 나무제품 제조업
C1630,코르크 및 조물 제품 제조업
C1711,펄프 제조업
C1712,종이 및 판지 제조업
C1721,골판지 및 골판지 가공제품 제조업
C1722,"종이 포대, 판지 상자 및 종이 용기 제조업"
C1790,기타 종이 및 판지 제품 제조업
C1811,인쇄업
C1812,인쇄관련 산업
C1820,기록매체 복제업
C1910,코크스 및 연탄 제조업
C1921,원유 정제처리업
C1922,석유 정제물 재처리업
C2011,기초 유기화학 물질 제조업
C2012,기초 무기화학 물질 제조업
C2013,"무기 안료, 염료, 유연제 및 기타 착색제 제조업"
C2020,합성고무 및 플라스틱 물질 제조업
C2031,비료 및 질소 화합물 제조업
C2032,살균ㆍ살충제 및 농약 제조업
C2041,"잉크, 페인트, 코팅제 및 유사제품 제조업"
C2042,"세제, 화장품 및 광택제 제조업"
C2049,그 외 기타 화학제품 제조업
C2050,화학섬유 제조업
C2110,기초 의약 물질 및 생물학적 제제 제조업
C2121,완제 의약품 제조업
C2122,한의약품 제조업
C2123,동물용 의약품 제조업
C2130,의료용품 및 기타 의약 관련제품 제조업
C2211,고무 타이어 및 튜브 생산업
C2219,기타 고무제품 제조업
C2221,1차 플라스틱제품 제조업
C2222,건축용 플라스틱제품 제조업
C2223,포장용 플라스틱제품 제조업
C2224,기계장비 조립용 플라스틱제품 제조업
C2225,플라스틱 발포 성형제품 제조업
C2229,기타 플라스틱 제품 제조업
C2311,판유리 및 판유리 가공품 제조업
C2312,산업용 유리 제조업
C2319,기타 유리제품 제조업
C2321,내화 요업제품 제조업
C2322,비내화 일반 도자기 제조업
C2323,건축용 비내화 요업제품 제조업
C2331,"시멘트, 석회 및 플라스터 제조업"
C2332,"콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업"
C2391,석제품 제조업
C2399,그 외 기타 비금속 광물제품 제조업
C2411,"제철, 제강 및 합금철 제조업"
C2412,"철강 압연, 압출 및 연신제품 제조업"
C2413,철강관 제조업
C2419,기타 1차 철강 제조업
